====================================================================================
|  #  |    SYMBOL    |      TYPE      |                VALUE                | LINE |
| 112 |            ; |      Semicolon |                                   ; |   18 |
| 113 |              |     Identifier |                    _yyyyyyyyyyyyyyy |   19 |
| 114 |          <== |     Assignment |                                 <== |   19 |
| 115 |              |     Identifier |                    _xxxxxxxxxxxxxxx |   19 |
| 116 |          add |       Addition |                                 add |   19 |
| 117 |            ( |        LBraket |                                   ( |   19 |
| 118 |              |     Identifier |                    _xxxxxxxxxxxxxxx |   19 |
| 119 |            % |            Mod |                                   % |   19 |
| 120 |              |         Number |                                  10 |   19 |
| 121 |            ) |        RBraket |                                   ) |   19 |
| 122 |            ; |      Semicolon |                                   ; |   19 |
| 123 |        write |          Write |                               write |   20 |
| 124 |            ( |        LBraket |                                   ( |   20 |
| 125 |              |         String | \nX = (A - B) * 10 + (A + B) / 10\n |   20 |
| 126 |            ) |        RBraket |                                   ) |   20 |
| 127 |            ; |      Semicolon |                                   ; |   20 |
| 128 |        write |          Write |                               write |   21 |
| 129 |            ( |        LBraket |                                   ( |   21 |
| 130 |              |     Identifier |                    _xxxxxxxxxxxxxxx |   21 |
| 131 |            ) |        RBraket |                                   ) |   21 |
| 132 |            ; |      Semicolon |                                   ; |   21 |
| 133 |        write |          Write |                               write |   22 |
| 134 |            ( |        LBraket |                                   ( |   22 |
| 135 |              |         String |                \nY = X + (X % 10)\n |   22 |
| 136 |            ) |        RBraket |                                   ) |   22 |
| 137 |            ; |      Semicolon |                                   ; |   22 |
| 138 |        write |          Write |                               write |   23 |
| 139 |            ( |        LBraket |                                   ( |   23 |
| 140 |              |     Identifier |                    _yyyyyyyyyyyyyyy |   23 |
| 141 |            ) |        RBraket |                                   ) |   23 |
| 142 |            ; |      Semicolon |                                   ; |   23 |
| 143 |          end |            End |                                 end |   24 |
| 144 |            ; |      Semicolon |                                   ; |   24 |
| 145 |              |      EndOfFile |                                     |   -1 |
====================================================================================
